Issuer Ticker,Issuer Name,Sales - 1 Yr Growth,Profit Margin,Return on Assets,Offer Size (M),Shares Outstanding (M),Offer Price,Offer To 1st Close,Market Cap at Offer (M),Trade Date (US),cusip,Cash Flow per Share,Offer Size (M).1,Shares Outstanding (M).1,Instit Owner (% Shares Out),Instit Owner (Shares Held),Month/Date,Month of Quarter,Real GDP Per Capita,OECD Leading Indicator,Interest Rate,Seasonally Adjusted Unemployment Rate,CPI Growth Rate,Filing Term Price Range,Priced Range,Industry Sector,Industry Group,Industry Subgroup,Underpriced
AFIB,Acutus Medical Inc,103.9,-681.7,-67.4,182.646,26.1073,18,47.22222137,469.931,8/6/20,5111109,-3.4,182.646,26.1073,61.6562,17542600,8/1/20,7/1/20,56484.00,98.41453353,0.25,8.302616451,0.315321052,16 - 18,Priced Within Range,0,22,61,1
AGEN,Agenus Inc,235.3,-8,-49.5,63,23.7159,18,240.972229,426.886,2/3/00,00847G705,0.044317,63,23.7159,53.8234,164060000,2/1/00,1/1/00,45983.00,101.1578089,5.24,4.108885838,0.592417062,14 - 16,Priced Above Range,0,21,29,1
AGNC,AGNC Investment Corp,82,82.1,-2.7,200,15.0046,20,-3.25,300.09,5/15/08,00123Q104,2.9,200,15.0046,47.2064,269842000,5/1/08,4/1/08,51923.00,100.5720601,2.25,5.539569455,0.842088603,20 - 20,Priced Within Range,3,3,6,0
AGRX,Agile Therapeutics Inc,447.5,-1826.2,-243,55.0002,18.5921,6,-7.666666508,111.55,5/23/14,00847L209,-26.8,55.0002,18.5921,13.8834,5638670,5/1/14,4/1/14,52840.00,100.7710708,0.75,6.397136369,0.349260984,6-Jun,Priced Within Range,0,13,15,0
AGS,PlayAGS Inc,55.5,-8.6,-2.7,188.6,35.1663,16,15.625,562.661,1/26/18,72814N104,2.1,188.6,35.1663,86.9767,32841700,1/1/18,1/1/18,56195.00,100.4818485,2,4.134060502,0.544774545,16 - 18,Priced Within Range,1,1,41,1
AGTC,Applied Genetic Technologies C,-35,-21213.2,-71.2,57.5004,14.0208,12,23,168.25,3/27/14,03820J100,-1.4,57.5004,14.0208,32.0574,21681200,3/1/14,1/1/14,52266.00,100.6756095,0.75,6.763461499,0.644004413,13 - 15,Priced Below Range,0,21,29,1
AHGP,Alliance Holdings GP LP,-7,10.3,10.5,312.5,59.863,25,0,1496.58,5/10/06,01861G100,9.2,312.5,59.863,0.0232982,13947,5/1/06,4/1/06,51210.00,101.1215791,6,4.71660949,0.496277916,23 - 25,Priced Within Range,2,35,62,0
AHH,Armada Hoffler Properties Inc,-25.9,8.9,2.2,218.543,17.2288,11.5,0.695652187,198.13,5/8/13,04208T108,1.5,218.543,17.2288,92.0829,62367600,5/1/13,4/1/13,51982.00,100.4875479,0.75,7.705884828,0.178040777,13-Nov,Priced Within Range,3,3,50,1
AHT,Ashford Hospitality Trust Inc,58.4,-33.1,-3.9,218.107,23.957,9,0,215.61,8/26/03,44103869,-6.6,218.107,23.957,39.4402,13606500,8/1/03,7/1/03,48012.00,99.24404837,2,6.125750534,0.380641653,11-Sep,Priced Within Range,3,3,63,0
AI,C3.ai Inc,37.9,-75.9,-19.4,748.65,95.1556,42,120.2142868,3996.54,12/9/20,12468P104,-0.8,748.65,95.1556,36.4372,38252300,12/1/20,10/1/20,57005.00,99.71018332,0.25,6.897872332,0.094147847,36 - 38,Priced Above Range,1,5,5,1
AIMC,Altra Industrial Motion Corp,10,1.4,0.4,155.25,23.0876,13.5,5.85185194,311.68,12/15/06,02208R106,3.3,155.25,23.0876,104.972,68409400,12/1/06,10/1/06,51455.00,101.3989179,6.25,4.52174096,0.148883375,14 - 16,Priced Below Range,8,36,64,1
AIRG,Airgain Inc,32.5,-15.6,-18.2,12,7.2376,8,0,57.9008,8/12/16,00938A104,-1.1,12,7.2376,57.1084,5838500,8/1/16,7/1/16,54549.00,99.24735392,1,4.938698083,0.091843011,10-Sep,Priced Below Range,4,23,34,0
AIZ,Assurant Inc,6.1,13.4,0.9,2024,145.072,22,12.27272701,3191.58,2/5/04,04621X108,13.2,2024,145.072,109.471,57835000,2/1/04,1/1/04,48633.00,100.9457332,2,5.666379165,0.539956803,20 - 22,Priced Within Range,3,18,25,1
AJX,Great Ajax Corp,-5.7,43.7,0.0371016,74.4776,15.207,14.25,-1.754385948,213.472,2/13/15,38983D300,-0.6,74.4776,15.207,74.1641,16978100,2/1/15,1/1/15,53806.00,100.5176164,0.75,5.549639901,0.434304492,15 - 17,Priced Below Range,3,3,6,0
AKAOQ,Achaogen Inc,-21.9,-2136.9,-133.5,82.8,17.6806,12,19.16666603,212.17,3/12/14,4449104,-3.6,82.8,17.6806,0.58462,373455,3/1/14,1/1/14,52266.00,100.6756095,0.75,6.763461499,0.644004413,14-Dec,Priced Within Range,0,13,15,1
AKBA,Akebia Therapeutics Inc,-27.6,-132.4,-29.9,114.937,20.147,17,57.02941132,342.5,3/20/14,00972D105,-1.5,114.937,20.147,39.8157,73245700,3/1/14,1/1/14,52266.00,100.6756095,0.75,6.763461499,0.644004413,14 - 17,Priced Within Range,0,13,65,1
AKCA,Akcea Therapeutics Inc,653.1,8.3,-8.6,143.75,66.5417,8,18.5,532.334,7/14/17,00972L107,2.4,143.75,66.5417,0.0655093,66567.6,7/1/17,7/1/17,55413.00,99.98293814,1.75,4.400611223,-0.068992264,14-Dec,Priced Below Range,0,13,15,1
AL,Air Lease Corp,3.6,20.9,-0.3,922.876,93.8468,26.5,5.471698284,2486.94,4/19/11,00912X302,12,922.876,93.8468,105.795,117318000,4/1/11,4/1/11,50897.00,100.1934599,0.75,9.277005673,0.643942954,25 - 28,Priced Within Range,3,26,66,1
ALBO,Albireo Pharma Inc,388.4,-83.8,-42.4,86.25,20.1608,15,20,302.41,5/11/07,01345P106,-5.6,86.25,20.1608,102.784,21277600,5/1/07,4/1/07,51705.00,101.897221,6.25,4.507395483,0.611071867,14 - 16,Priced Within Range,0,21,29,1
ALEC,Alector Inc,881.5,-17.5,-16.1,185.051,68.8545,19,-5.263157845,1308.24,2/7/19,14442107,3.7,185.051,68.8545,82.0064,67820600,2/1/19,1/1/19,57100.00,99.72456638,3,3.848682249,0.422705314,18 - 20,Priced Within Range,0,13,15,0
ALGM,Allegro MicroSystems Inc,30,15.5,13.3,402.5,189.432,14,26.4285717,2652.05,10/29/20,01749D105,0.8,402.5,189.432,50.5858,96774700,10/1/20,10/1/20,57005.00,98.98453016,0.25,7.145794405,0.041493776,14-Dec,Priced Within Range,1,4,54,1
ALGN,Align Technology Inc,59.9,19.5,8.8,138.173,45.6157,13,33.17307663,593,1/26/01,16255101,14.8,138.173,45.6157,95.3796,74503300,1/1/01,1/1/01,46519.00,98.87571881,5.52,4.253849873,0.632183908,14 - 16,Priced Below Range,0,22,61,1
ALGT,Allegiant Travel Co,72.5,8.8,-0.9,103.5,19.7959,18,39.44444275,356.33,12/8/06,01748X102,31.2,103.5,19.7959,99.1849,18248600,12/1/06,10/1/06,51455.00,101.3989179,6.25,4.52174096,0.148883375,15 - 17,Priced Above Range,5,37,67,1
ALIM,Alimera Sciences Inc,16.1,-7.4,-31.6,72.05,31.0511,11,0,341.56,4/22/10,16259202,-0.4,72.05,31.0511,34.7969,2438740,4/1/10,4/1/10,50424.00,99.72769411,0.75,10.14140777,0.173688491,15 - 17,Priced Below Range,0,13,15,0
ALJ,Alon USA Energy Inc,-9.7,-2.1,-1.8,187.68,45.2011,16,7.8125,723.22,7/28/05,20520102,0.8,187.68,45.2011,0.0560544,40296,7/1/05,7/1/05,50470.00,100.3384397,4.25,5.02888944,0.462724936,14 - 16,Priced Within Range,2,28,68,1
ALNY,Alnylam Pharmaceuticals Inc,71.3,-101,-33.7,34.5,19.2833,6,0.166666672,115.7,5/27/04,02043Q107,-5.4,34.5,19.2833,115.012,141497000,5/1/04,4/1/04,48905.00,100.9690499,2,5.649825354,0.585106383,8-Jun,Priced Within Range,0,21,29,1
ALPN,Alpine Immune Sciences Inc,151.1,-214.7,-28.9,88.55,15.4517,14,6.571428776,216.324,6/17/15,02083G100,-0.6,88.55,15.4517,104.342,47908200,6/1/15,4/1/15,54021.00,100.1249321,0.75,5.350969219,0.350287,13 - 15,Priced Within Range,0,21,29,1
ALRM,Alarm.com Holdings Inc,21.1,6.9,3.5,112.7,45.3714,14,20.5714283,635.2,6/26/15,11642105,2,112.7,45.3714,99.0231,49423200,6/1/15,4/1/15,54021.00,100.1249321,0.75,5.350969219,0.350287,13 - 15,Priced Within Range,0,7,58,1
ALRS,Alerus Financial Corp,-2.2,22.4,1.2,60.06,16.6761,21,4.761904716,350.198,9/13/19,01446U103,8.6,60.06,16.6761,45.823,9158760,9/1/19,7/1/19,57845.00,99.2709694,2.5,3.572134909,0.078344858,22 - 24,Priced Below Range,3,9,44,1
ALSN,Allison Transmission Holdings,15.4,18.4,11.1,690.345,181.376,23,1.739130378,4171.65,3/15/12,01973R101,5.9,690.345,181.376,114.241,105662000,3/1/12,1/1/12,51559.00,99.92363477,0.75,8.317498152,0.759455862,22 - 24,Priced Within Range,5,38,69,1
ALTA,Altabancorp,-0.7,34.4,1.3,41.6875,17.4459,14.5,15.17241383,247.528,6/11/15,21347109,2.7,41.6875,17.4459,3.2301,610084,6/1/15,4/1/15,54021.00,100.1249321,0.75,5.350969219,0.350287,13 - 15,Priced Within Range,3,9,70,1
ALTR,Altair Engineering Inc,13.2,-1.6,-5.3,179.4,23.1875,13,40.84615326,301.438,11/1/17,21369103,0.8,179.4,23.1875,104.015,54501400,11/1/17,10/1/17,55877.00,100.3158857,1.75,4.25663681,0.002432469,13-Nov,Priced Within Range,1,5,71,1
ALTUQ,Altus Pharmaceuticals Inc,-92.4,-4471.1,-110.4,120.75,22.0519,15,12.13333321,330.78,1/26/06,02216N105,-2.6,120.75,22.0519,0.804907,250576,1/1/06,1/1/06,51200.00,101.0885803,5.5,4.753347115,0.762195122,14 - 16,Priced Within Range,0,13,65,1
AM,Antero Midstream Corp,-0.2,36.9,5.8,875.375,186.17,23.5,-6.382978916,4375,5/4/17,03676B102,1.4,875.375,186.17,86.0391,411684000,5/1/17,4/1/17,55057.00,99.9020738,1.5,4.399948582,0.085472183,22 - 25,Priced Within Range,2,2,2,0
AMBA,Ambarella Inc,48.8,-7.9,-6.6,41.4,25.9095,6,1,155.457,10/10/12,N.A.,1,41.4,25.9095,97.7385,37548000,10/1/12,10/1/12,51634.00,99.71850812,0.75,8.014015423,-0.038892514,11-Sep,Priced Below Range,1,4,4,1
AMBR,Amber Road Inc,7.7,-15.9,-10.5,110.504,24.7889,13,30.76922989,322.26,3/21/14,02318Y108,0.1,110.504,24.7889,0.44504,126563,3/1/14,1/1/14,52266.00,100.6756095,0.75,6.763461499,0.644004413,10.50 - 12.50,Priced Above Range,1,5,72,1
AMC,AMC Entertainment Holdings Inc,103.4,-50.2,-8.1,378.949,21.5533,18,5,387.96,12/18/13,00165C104,-1.2,378.949,21.5533,32.6353,173527000,12/1/13,10/1/13,52544.00,100.6417272,0.75,6.837206606,-0.00858115,18 - 20,Priced Within Range,5,16,27,1
AMH,American Homes 4 Rent,10.2,14.5,2,811.763,184.857,16,-2.5,2957.71,8/1/13,02665T306,1.8,811.763,184.857,100.872,355886000,8/1/13,7/1/13,52284.00,100.641767,0.75,7.391202966,0.120293156,16 - 18,Priced Within Range,3,3,3,0
AMK,AssetMark Financial Holdings I,22.2,4.8,6.3,316.25,72.4,22,22.90909004,1592.8,7/18/19,04546L106,1.7,316.25,72.4,97.5576,72043400,7/1/19,7/1/19,57845.00,99.35534623,3,3.786645109,0.167094162,19 - 21,Priced Above Range,3,26,39,1
AMN,AMN Healthcare Services Inc,66.4,8.2,16.7,195.5,40.7146,17,27.41176414,692.15,11/13/01,1744101,6.4,195.5,40.7146,112.655,48820200,11/1/01,10/1/01,46400.00,98.44499123,1.58,5.610148971,-0.16882386,14 - 16,Priced Above Range,0,7,73,1
AMPH,Amphastar Pharmaceuticals Inc,25.1,14.1,11.2,64.4,44.6059,7,25,312.24,6/25/14,03209R103,2,64.4,44.6059,65.3957,31606500,6/1/14,4/1/14,52840.00,100.8107011,0.75,6.174444118,0.186212694,12-Oct,Priced Below Range,0,13,15,1
AMRC,Ameresco Inc,17.7,5.8,4.2,90.3971,40.7462,10,1.700000048,407.46,7/22/10,2.36E+111,-3.3,90.3971,40.7462,97.77,33157900,7/1/10,7/1/10,50706.00,99.58635413,0.75,9.506082108,0.021104306,14 - 16,Priced Below Range,7,39,74,1
AMRS,Amyris Inc,97.4,-79.2,-34.3,97.52,41.228,16,3.125,659.65,9/28/10,03236M200,-0.6,97.52,41.228,67.5537,219677000,9/1/10,7/1/10,50706.00,99.64484999,0.75,9.69169447,0.058173623,18 - 20,Priced Below Range,6,14,75,1
AMSF,AMERISAFE Inc,-6.9,20.8,2.7,76.3717,17.4241,9,0,156.82,11/18/05,03071H100,1.9,76.3717,17.4241,103.985,19919200,11/1/05,10/1/05,50629.00,100.7991232,5,5.136890026,-0.803212851,11-Sep,Priced Within Range,3,18,25,0
AMST,Amesite Inc,3.3,-1299.8,-84.8,15,20.4231,5,4.400000095,102.115,9/25/20,31094105,-0.2,15,20.4231,4.98185,1509520,9/1/20,7/1/20,56484.00,98.66695103,0.25,8.083785823,0.139274694,4.50 - 5.50,Priced Within Range,1,5,24,1
AMTB,Amerant Bancorp Inc,10.3,34.6,1.3,84.877,26.344,13,-7.692307472,342.472,12/19/18,23576101,1.8,84.877,26.344,40.0257,13518400,12/1/18,10/1/18,56851.00,99.94885468,3,3.955038353,-0.319396282,13 - 13,Priced Within Range,3,26,76,0
AMWL,American Well Corp,3,-69.7,-18.9,853.301,198.164,18,28.16666603,3566.96,9/17/20,03044L105,-0.5,853.301,198.164,54.7592,132771000,9/1/20,7/1/20,56484.00,98.66695103,0.25,8.083785823,0.139274694,14 - 16,Priced Above Range,0,0,35,1
ANAB,AnaptysBio Inc,-15.7,-91.4,-25.8,86.25,19.9093,15,13.33333302,298.639,1/26/17,32724106,-1.6,86.25,19.9093,116.819,33213600,1/1/17,1/1/17,54866.00,99.76074483,1.25,4.769484484,0.582772789,14 - 16,Priced Within Range,0,21,29,1
ANCB,Anchor Bancorp Inc/WA,7.3,9.8,0.5,25.5,0,10,0,0,1/26/11,32838104,3,25.5,0,10.8023,268333,1/1/11,1/1/11,50646.00,100.2239092,0.75,9.228517755,0.476323005,10-Oct,Priced Within Range,3,9,70,0
ANET,Arista Networks Inc,27.2,28.5,20,259.612,64.3699,43,27.9069767,2767.91,6/6/14,40413106,3.3,259.612,64.3699,70.4188,215181000,6/1/14,4/1/14,52840.00,100.8107011,0.75,6.174444118,0.186212694,36 - 40,Priced Above Range,4,23,77,1
ANGO,AngioDynamics Inc,8.6,-8.4,-5.8,24.6675,11.15,11,13.63636398,122.65,5/27/04,03475V101,-0.1,24.6675,11.15,98.0723,38353900,5/1/04,4/1/04,48905.00,100.9690499,2,5.649825354,0.585106383,14-Dec,Priced Below Range,0,22,78,1
ANRZQ,Alpha Natural Resources Inc,59.4,12.7,-6.6,644.575,62.2126,19,19.42105293,1182.04,2/15/05,02076X102,9.4,644.575,62.2126,0.162542,361675,2/1/05,1/1/05,50068.00,100.4087346,3.5,5.435789926,0.576822234,16 - 18,Priced Above Range,2,35,62,1
AOSL,Alpha & Omega Semiconductor Lt,18.3,58.2,39.5,91.5477,22.0875,18,-1.666666627,397.57,4/29/10,N.A.,8.1,91.5477,22.0875,83.3509,22844800,4/1/10,4/1/10,50424.00,99.72769411,0.75,10.14140777,0.173688491,17 - 19,Priced Within Range,1,4,4,0
APAM,Artisan Partners Asset Managem,36.4,27.4,22.3,381.369,12.7123,30,29.43333244,381.37,3/7/13,04316A108,6.6,381.369,12.7123,92.5844,62875000,3/1/13,1/1/13,51998.00,100.2801151,0.75,7.574579728,0.261450858,27 - 29,Priced Above Range,3,26,39,1
APEI,American Public Education Inc,30.1,4.2,-14.3,107.812,17.7519,20,79.59999847,355.04,11/8/07,02913V103,0.9,107.812,17.7519,111.478,21060400,11/1/07,10/1/07,52066.00,101.5178052,5,4.772251125,0.593961787,18 - 19,Priced Above Range,0,7,79,1
APFH,AdvancePierre Foods Holdings I,-2.6,8.6,12.3,449.19,78.586,21,14.28571415,1650.31,7/15/16,00782L107,2.7,449.19,78.586,0.00137208,1073,7/1/16,7/1/16,54549.00,99.20439166,1,4.892736309,-0.16181364,20 - 23,Priced Within Range,5,40,80,1
APLP,Archrock Partners LP,15.3,8.5,2.5,132.825,7.15,21,7.285714149,150.15,10/17/06,03957U100,3.2,132.825,7.15,100,70231000,10/1/06,10/1/06,51455.00,101.1917389,6.25,4.45357667,-0.542138985,19 - 21,Priced Within Range,2,29,46,1
APLS,Apellis Pharmaceuticals Inc,-73.4,-1121.2,-90.6,172.495,50.864,14,0.214285716,712.096,11/9/17,03753U106,-6.6,172.495,50.864,107.752,119147000,11/1/17,10/1/17,55877.00,100.3158857,1.75,4.25663681,0.002432469,13 - 15,Priced Within Range,0,21,29,1
APPF,Appfolio Inc,15.9,0.2,-12.5,85.56,7.13,12,17.33333397,85.56,6/26/15,03783C100,1,85.56,7.13,86.6012,17679400,6/1/15,4/1/15,54021.00,100.1249321,0.75,5.350969219,0.350287,14-Dec,Priced Within Range,1,5,5,1
APPN,Appian Corp,21.2,-24,-30,86.25,7.1875,12,25.08333397,704.255,5/25/17,03782L101,-0.7,86.25,7.1875,81.8299,33591000,5/1/17,4/1/17,55057.00,99.9020738,1.5,4.399948582,0.085472183,13-Nov,Priced Within Range,1,5,81,1
APPX,Fresenius Kabi USA Inc,11,5.3,2.2,165.6,48.0681,16,23.4375,769.09,12/14/01,00202H108,0.0773789,165.6,48.0681,0.345165,555000,12/1/01,10/1/01,46400.00,98.68610603,1.33,5.760192645,-0.394588501,13 - 16,Priced Within Range,0,13,15,1
APRN,Blue Apron Holdings Inc,2.1,-18.7,-61.1,300,30.0427,10,0,1890.58,6/29/17,09523Q200,-2.2,300,30.0427,15.457,6117660,6/1/17,4/1/17,55057.00,99.9382068,1.75,4.359433085,0.090711101,11-Oct,Priced Within Range,0,10,53,0
APTI,Apptio Inc,17.4,-13.5,-7.9,110.4,6.9,16,40.9375,596.573,9/23/16,03835C108,0.2,110.4,6.9,0.302104,137660,9/1/16,7/1/16,54549.00,99.32291136,1,5.067702195,0.240399586,13 - 15,Priced Above Range,1,5,81,1
APTS,Preferred Apartment Communitie,-9.9,4.5,0.3,46.0736,5.1441,10,-1.5,51.44,4/1/11,74039L103,3.5,46.0736,5.1441,12.2194,7874540,4/1/11,4/1/11,50897.00,100.1934599,0.75,9.277005673,0.643942954,10-Oct,Priced Within Range,3,3,50,0
APXTU,AvePoint Inc,26.6,-18.3,-14.2,350,35.81,10,1.5,358.1,9/17/19,03768F201,0.0355236,350,35.81,0.0245462,8790,9/1/19,7/1/19,57845.00,99.2709694,2.5,3.572134909,0.078344858,10-Oct,Priced Within Range,1,5,82,1
AQ,Aquantia Corp,16.8,-8,-19.5,70.5663,33.3438,9,5.666666508,300.094,11/3/17,03842Q108,0.2,70.5663,33.3438,14.2008,5124410,11/1/17,10/1/17,55877.00,100.3158857,1.75,4.25663681,0.002432469,12-Oct,Priced Below Range,1,4,54,1
AQMS,Aqua Metals Inc,60.1,-10516.1,-44.7,36.2095,0,5,7,0,7/31/15,03837J101,-0.1,36.2095,0,18.3638,14394800,7/1/15,7/1/15,54081.00,99.98278579,0.75,5.338603251,0.006704716,5-May,Priced Within Range,8,33,83,1
AQST,Aquestive Therapeutics Inc,10.8,-138.7,-121.2,73.8855,24.4257,15,7,366.385,7/25/18,3.84E+107,-0.8,73.8855,24.4257,30.0102,16252300,7/1/18,7/1/18,56831.00,100.5899154,2.5,3.862981324,0.006746326,14 - 16,Priced Within Range,0,13,15,1
AQUA,Evoqua Water Technologies Corp,2.4,3.5,2.8,575.001,113.282,18,16,2039.08,11/2/17,30057T105,1.5,575.001,113.282,111.045,135266000,11/1/17,10/1/17,55877.00,100.3158857,1.75,4.25663681,0.002432469,17 - 19,Priced Within Range,8,33,84,1
AR,Antero Resources Corp,27.3,-3.4,14.8,1802.41,265.624,44,18.20454597,11687.5,10/10/13,03674X106,5.3,1802.41,265.624,89.9989,270119000,10/1/13,10/1/13,52544.00,100.65078,0.75,7.416395048,-0.257528326,38 - 42,Priced Above Range,2,28,43,1
ARA,American Renal Associates Hold,2,-1.6,-0.7,189.75,30.8448,22,20.45454597,653.836,4/21/16,29227105,1.2,189.75,30.8448,0.276124,95382.4,4/1/16,4/1/16,54334.00,99.15842228,1,5.102375645,0.474106798,20 - 23,Priced Within Range,0,0,85,1
ARAV,Aravive Inc,30.9,-526,-78.7,144.9,24.164,21,49.38095093,507.44,3/21/14,03890D108,-1.6,144.9,24.164,14.8557,8887720,3/1/14,1/1/14,52266.00,100.6756095,0.75,6.763461499,0.644004413,19 - 21,Priced Within Range,0,21,29,1
ARAY,Accuray Inc,8.4,-1.2,-2,331.2,52.2124,18,58.16666794,939.82,2/8/07,4397105,-0.02606,331.2,52.2124,66.3886,62258400,2/1/07,1/1/07,51492.00,101.6073514,6.25,4.611606375,0.535036756,17 - 18,Priced Within Range,0,22,61,1
ARC,ARC Document Solutions Inc,-5.9,3.3,3.6,195.459,43.9087,13,5.769230843,570.81,2/4/05,00191G103,0.8,195.459,43.9087,52.1031,22417700,2/1/05,1/1/05,50068.00,100.4087346,3.5,5.435789926,0.576822234,14 - 16,Priced Below Range,0,7,86,1
ARCC,Ares Capital Corp,20.4,86.1,3.9,165,17.0168,15,0.13333334,255.25,10/5/04,04010L103,-5.5,165,17.0168,34.4133,178075000,10/1/04,10/1/04,49623.00,100.5370284,2.75,5.523151518,0.526592944,15 - 15,Priced Within Range,3,24,37,1
ARDS,Aridis Pharmaceuticals Inc,53.5,-2748.7,-324.5,28.5064,7.9994,13,0,103.992,8/14/18,40334104,-1.8,28.5064,7.9994,17.2665,3056440,8/1/18,7/1/18,56831.00,100.5227439,2.5,3.835982303,0.055554233,13 - 15,Priced Within Range,0,21,29,0
ARDX,Ardelyx Inc,33.3,-1566.4,-80.1,69.0046,18.5291,14,0.785714269,259.41,6/19/14,39697107,-1.4,69.0046,18.5291,41.4247,77654600,6/1/14,4/1/14,52840.00,100.8107011,0.75,6.174444118,0.186212694,13 - 15,Priced Within Range,0,21,29,1
ARES,Ares Management Corp,108.4,8.7,0.8,220.199,80.6677,19,-2.105263233,1532.69,5/2/14,03990B101,-15.8,220.199,80.6677,99.8473,173155000,5/1/14,4/1/14,52840.00,100.7710708,0.75,6.397136369,0.349260984,21 - 23,Priced Below Range,3,41,87,0
AREXQ,Approach Resources Inc,5.9,-18.6,-4.5,105.8,20.4058,12,4.916666508,244.87,11/8/07,03834A103,0.3,105.8,20.4058,0.483565,452764,11/1/07,10/1/07,52066.00,101.5178052,5,4.772251125,0.593961787,14 - 16,Priced Below Range,2,28,43,1
ARGSQ,Argos Therapeutics Inc,100.9,-2136.3,-84.5,49.8296,19.6527,8,0,157.22,2/7/14,40221202,-11.7,49.8296,19.6527,0.11898,12596,2/1/14,1/1/14,52266.00,100.6382872,0.75,6.7788573,0.369790865,13 - 15,Priced Below Range,0,21,29,0
ARI,Apollo Commercial Real Estate,-2.8,56.5,3.4,200,21.525,20,-7.5,430.5,9/24/09,03762U105,1.4,200,21.525,67.7091,95196300,9/1/09,7/1/09,49473.00,97.75545488,0.5,9.999140225,0.062548069,20 - 20,Priced Within Range,3,3,6,0
ARII,American Railcar Industries In,-25.3,29.8,9.9,205.275,21.2078,21,9.309523582,445.36,1/20/06,02916P103,6.8,205.275,21.2078,0.187871,35853,1/1/06,1/1/06,51200.00,101.0885803,5.5,4.753347115,0.762195122,16 - 18,Priced Above Range,8,42,88,1
ARLO,Arlo Technologies Inc,21.8,-12.8,-13.3,187.957,74.2473,16,38.125,1187.96,8/3/18,04206A101,-0.2,187.957,74.2473,74.615,66013200,8/1/18,7/1/18,56831.00,100.5227439,2.5,3.835982303,0.055554233,18 - 20,Priced Below Range,0,7,89,1
ARMK,Aramark,-5.7,-0.7,1,833.75,229.837,20,13.5,4596.74,12/12/13,03852U106,2.7,833.75,229.837,127.998,329873000,12/1/13,10/1/13,52544.00,100.6417272,0.75,6.837206606,-0.00858115,20 - 23,Priced Within Range,5,40,80,1
ARNA,Arena Pharmaceuticals Inc,-83,-1.14,-62.4,108,20.9966,18,38.88888931,377.939,7/28/00,40047607,-7.4,108,20.9966,29.7346,18334200,7/1/00,7/1/00,46624.00,100.5207065,6,4.063214054,0.232018561,15 - 17,Priced Above Range,0,21,29,1
AROPQ,ARO Liquidation Inc,-18,-9,-28.5,258.75,34.0405,18,54.16666794,612.73,5/16/02,00215Q103,-0.8,258.75,34.0405,0.0345968,27900,5/1/02,4/1/02,46866.00,99.45832738,1.25,5.85679877,0,15 - 17,Priced Above Range,5,17,23,1
ARRY,Array Technologies Inc,-2.2,-5.9,-0.9,1201.75,126.994,22,65.6818161,2793.87,10/15/20,04271T100,-2,1201.75,126.994,119.766,180236000,10/1/20,10/1/20,57005.00,98.98453016,0.25,7.145794405,0.041493776,19 - 21,Priced Above Range,2,15,19,1
ARVN,Arvinas Inc,114.2,-408.9,-22.7,123.208,32.3592,16,0.3125,517.747,9/27/18,04335A105,11.1,123.208,32.3592,98.1285,52231400,9/1/18,7/1/18,56831.00,100.4151294,2.75,3.746935562,0.116202518,14 - 16,Priced Within Range,0,13,90,1
ASBB,ASB Bancorp Inc,9.5,3.7,0.1,55.8455,0,10,16.39999962,0,10/12/11,00213T109,1.3,55.8455,0,0.00245511,93,10/1/11,10/1/11,51232.00,99.19631195,0.75,9.023611439,-0.206268263,10-Oct,Priced Within Range,3,9,91,1
ASMB,Assembly Biosciences Inc,-92,-2076.3,-70.6,20.01,7.1814,6,5,43.09,12/17/10,45396108,-2.1,20.01,7.1814,39.3512,19195500,12/1/10,10/1/10,50859.00,100.0833654,0.75,9.571029496,0.171844079,7-Jun,Priced Within Range,0,21,29,1
ASO,Academy Sports & Outdoors Inc,19,9.9,13.8,226.622,89.9106,13,-0.07692308,1168.84,10/2/20,00402L107,7.4,226.622,89.9106,104.718,83498700,10/1/20,10/1/20,57005.00,98.98453016,0.25,7.145794405,0.041493776,15 - 17,Priced Below Range,5,17,92,0
ASPN,Aspen Aerogels Inc,21.2,-30.5,-31.2,82.5,23,11,-2.272727251,253,6/13/14,04523Y105,-0.6,82.5,23,96.9333,39654900,6/1/14,4/1/14,52840.00,100.8107011,0.75,6.174444118,0.186212694,14 - 16,Priced Below Range,5,17,93,0
ASV,ASV Holdings Inc,3.4,-25.1,-33.7,30.59,10.07,7,12.14285755,70.49,5/12/17,00215L104,-0.0864876,30.59,10.07,6.30664,624979,5/1/17,4/1/17,55057.00,99.9020738,1.5,4.399948582,0.085472183,10-Aug,Priced Below Range,8,43,94,1
ATACU,HF Foods Group Inc,46,-60.5,2.9,44.25,0,10,0.400000006,0,8/9/17,48206205,0.8,44.25,0,8.14986,478600,8/1/17,7/1/17,55413.00,100.05168,1.75,4.476286789,0.29944523,10-Oct,Priced Within Range,0,10,95,1
ATEC,Alphatec Holdings Inc,67.8,-59.3,-34.2,83.7,34.7602,9,-0.222222224,312.84,6/2/06,02081G201,-0.7,83.7,34.7602,64.526,67790000,6/1/06,4/1/06,51210.00,101.0698362,6.25,4.703669147,0.197530864,12-Nov,Priced Below Range,0,22,61,0
ATEN,A10 Networks Inc,10.8,37.9,10.8,187.5,59.029,15,8.066666603,885.44,3/21/14,2121101,0.6,187.5,59.029,110.71,81314300,3/1/14,1/1/14,52266.00,100.6756095,0.75,6.763461499,0.644004413,13 - 15,Priced Within Range,4,23,77,1
